cell_type	cancer_type	taxa	rho	rho_p	tau	tau_p	rho_padj	tau_padj	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	stabsel_prob	stabsel_pass
Macrophages_M2	ESCA	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus	0.365476696	5.11E-07	0.24640884	8.49E-07	0.000437209	0.000683391	0.464251685	0.389653818	4.85E-06	0.003419523	0.127489642	0.318866453	0.751808732	0	0.86	TRUE
Monocytes	ESCA	k__Bacteria.p__Fibrobacteres.c__Chitinivibrionia.o__Chitinivibrionales.f__Chitinivibrionaceae.g__Chitinivibrio	0.426839091	2.98E-09	0.285819521	1.12E-08	9.90E-06	2.87E-05	0.398155335	0.358982014	3.17E-07	0.000446788	0.161330995	0.361884926	0.738132545	0	0.92	TRUE
NK_cells	ESCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.295458685	5.81E-05	0.198526703	7.29E-05	0.012199918	0.015008793	0.53631041	0.46497355	1.99E-05	0.028131374	0.124178693	0.335301781	0.885392901	0	0.84	TRUE
Other	ESCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	-0.412848845	1.06E-08	-0.285328422	1.19E-08	2.39E-05	2.91E-05	0.708470978	0.663620359	6.78E-07	0.000504843	-0.140768346	-0.06111337	0.619724319	0	0.97	TRUE
Other	ESCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma	-0.321488272	1.14E-05	-0.216083487	1.58E-05	0.003893757	0.005562963	0.708470978	0.663620359	0.000147979	0.029828402	-0.215266836	-0.068625924	0.619724319	0	0.66	TRUE
Other	ESCA	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus	-0.367192844	4.49E-07	-0.245303867	9.50E-07	0.000408544	0.000705672	0.708470978	0.663620359	7.16E-07	0.000504843	-0.278370575	-0.120616536	0.619724319	0	0.67	TRUE
Other	ESCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	-0.451085747	2.74E-10	-0.308778392	6.81E-10	1.86E-06	3.20E-06	0.708470978	0.663620359	0.000181031	0.031929382	-0.299970189	-0.093826186	0.619724319	0	0.92	TRUE
Other	ESCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae.g__Succinimonas	0.284151944	0.000112859	0.19165132	0.000128499	0.018845497	0.021779196	0.708470978	0.663620359	2.11E-05	0.005946897	0.174381516	0.472458899	0.619724319	0	0.77	TRUE
Other	ESCA	k__Bacteria.p__Fibrobacteres.c__Chitinivibrionia.o__Chitinivibrionales.f__Chitinivibrionaceae.g__Chitinivibrio	-0.444099731	5.62E-10	-0.311724985	4.69E-10	2.88E-06	2.65E-06	0.708470978	0.663620359	1.13E-05	0.003983583	-0.272799715	-0.104417831	0.619724319	0	0.95	TRUE
Plasma_B_cells	ESCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.414085362	9.50E-09	0.285942296	1.10E-08	2.39E-05	2.87E-05	0.817013737	0.774400498	0.000311688	0.087958213	0.049543784	0.167573012	0.918280138	0	0.85	TRUE
Plasma_B_cells	ESCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma	0.596891506	0	0.415101289	1.08E-16	0	3.05E-12	0.817013737	0.774400498	2.76E-39	3.90E-36	0.618241342	0.835527372	0.918280138	0	1	TRUE
Plasma_B_cells	ESCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.405188918	2.07E-08	0.279066912	2.45E-08	4.17E-05	4.91E-05	0.817013737	0.774400498	1.47E-08	1.04E-05	0.40285397	0.82905253	0.918280138	0	0.7	TRUE
T_cells	ESCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.464375772	6.18E-11	0.326703499	6.64E-11	4.98E-07	5.35E-07	0.539212735	0.509220664	2.93E-06	0.001377998	0.065519544	0.160092037	0.735784215	0	0.99	TRUE
T_cells	ESCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.388737782	8.21E-08	0.258686311	2.35E-07	0.000110304	0.000260245	0.539212735	0.509220664	4.64E-10	6.55E-07	0.191152208	0.36660091	0.735784215	0	0.95	TRUE
T_cells	ESCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma	0.386865805	9.56E-08	0.259422959	2.17E-07	0.000122613	0.000250322	0.539212735	0.509220664	9.25E-08	6.53E-05	0.150160888	0.324264218	0.735784215	0	0.95	TRUE
T_cells	ESCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae.g__Succinimonas	-0.351174792	1.47E-06	-0.245303867	9.50E-07	0.00092403	0.000705672	0.539212735	0.509220664	5.14E-05	0.012082638	-0.542527202	-0.188626885	0.735784215	0	0.86	TRUE
T_helpers	ESCA	k__Viruses.f__Nimaviridae.g__Whispovirus	-0.288248032	8.90E-05	-0.19558011	9.31E-05	0.016805883	0.017696648	0.732432883	0.672366795	1.11E-08	1.57E-05	-0.725042124	-0.35463971	0.886446245	0	0.85	TRUE
T_helpers	ESCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Marichromatium	-0.433644992	1.57E-09	-0.299201964	2.25E-09	5.90E-06	7.46E-06	0.732432883	0.672366795	2.39E-05	0.011233673	-0.629340589	-0.23048075	0.886446245	0	0.97	TRUE
T_helpers	ESCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma	0.338526299	3.61E-06	0.233271946	3.14E-06	0.001711715	0.0016583	0.732432883	0.672366795	2.05E-05	0.011233673	0.12305154	0.332804944	0.886446245	0	0.91	TRUE
T_helpers	ESCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.284653836	0.000109648	0.1893186	0.00015514	0.018584133	0.024322523	0.732432883	0.672366795	6.86E-05	0.02418835	0.212141783	0.623565375	0.886446245	0	0.71	TRUE
Tregs	ESCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.447453099	3.99E-10	0.310865562	5.23E-10	2.25E-06	2.68E-06	0.453590198	0.407507444	1.49E-05	0.006431176	0.067659387	0.179523612	0.870315747	0	0.97	TRUE
Tregs	ESCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.379323255	1.75E-07	0.257335789	2.72E-07	0.000189894	0.000294792	0.453590198	0.407507444	2.84E-07	0.000400056	0.168043342	0.375571263	0.870315747	0	0.89	TRUE
Tregs	ESCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma	0.384562767	1.15E-07	0.257090239	2.79E-07	0.000138269	0.000296884	0.453590198	0.407507444	1.82E-05	0.006431176	0.122174749	0.328111309	0.870315747	0	0.79	TRUE
Tregs	ESCA	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus	0.390198936	7.28E-08	0.262246777	1.60E-07	0.000103955	0.000218967	0.453590198	0.407507444	1.63E-05	0.006431176	0.132817504	0.354360891	0.870315747	0	0.66	TRUE
Tregs	ESCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae.g__Succinimonas	-0.313168599	1.95E-05	-0.218661756	1.25E-05	0.005719674	0.004630886	0.453590198	0.407507444	7.05E-05	0.019899612	-0.633743506	-0.215135696	0.870315747	0	0.77	TRUE
Fibroblasts	GBM	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	0.342331823	1.90E-05	0.238498896	1.40E-05	0.063131744	0.056272241	0.997412946	0.994610304	1.80E-08	1.17E-05	0.127472968	0.263625171	0.426771716	0	0.83	TRUE
Other	GBM	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	-0.321558034	6.20E-05	-0.217660044	7.36E-05	0.091998875	0.115324037	0.606431664	0.535155508	1.90E-05	0.026845351	-0.229414862	-0.085205281	0.452027721	0	0.83	TRUE
Tregs	GBM	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus	-0.318814918	7.21E-05	-0.216600442	7.98E-05	0.09686927	0.11545679	0.893368825	0.843189449	7.34E-07	0.001035428	-0.42169176	-0.182547621	0.740272687	0	0.66	TRUE
Tregs	GBM	k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Candidatus_Halobonum	-0.375702335	2.39E-06	-0.254746137	3.48E-06	0.044943226	0.049593949	0.893368825	0.843189449	2.49E-06	0.001755283	-0.388789309	-0.160267941	0.740272687	0	0.85	TRUE
B_cells	HNSC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Ruegeria	-0.12376809	0.004853543	-0.083756916	0.004416705	0.078155679	0.072686522	0.736814838	0.702185212	4.96E-08	3.50E-05	-0.504490774	-0.237714205	0.763748886	0	0.91	TRUE
B_cells	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.429305386	0	0.294063845	1.60E-23	0	3.11E-20	0.736814838	0.702185212	0.000578994	0.090773461	0.088542642	0.322850212	0.763748886	0	1	TRUE
B_cells	HNSC	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.406280127	0	0.282083577	8.97E-22	0	1.41E-18	0.736814838	0.702185212	4.48E-81	6.32E-78	0.973195159	1.196154165	0.763748886	0	1	TRUE
CD4_T_cells	HNSC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.374610986	0	0.263895761	2.97E-19	0	3.56E-16	0.605915843	0.553082582	1.02E-07	4.78E-05	0.046448325	0.100578288	0.960028512	0	1	TRUE
CD4_T_cells	HNSC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.276822479	1.80E-10	0.18688618	2.12E-10	7.33E-08	8.55E-08	0.605915843	0.553082582	6.63E-09	4.68E-06	0.128170757	0.259007321	0.960028512	0	0.97	TRUE
CD4_T_cells	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.597827497	0	0.419204414	4.54E-46	0	4.27E-42	0.605915843	0.553082582	3.60E-17	5.08E-14	0.485764686	0.780288124	0.960028512	0	1	TRUE
CD8_T_cells	HNSC	k__Viruses.f__Papillomaviridae.g__Alphapapillomavirus	0.264524615	1.16E-09	0.17916423	1.13E-09	4.02E-07	3.94E-07	0.71566806	0.677548833	2.47E-09	8.70E-07	0.03162598	0.062590192	0.694366386	0	1	TRUE
CD8_T_cells	HNSC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.410708446	0	0.286671765	1.95E-22	0	3.15E-19	0.71566806	0.677548833	7.93E-12	3.73E-09	0.048739102	0.08789005	0.694366386	0	1	TRUE
CD8_T_cells	HNSC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.32634097	3.66E-14	0.220487907	6.66E-14	2.40E-11	4.37E-11	0.71566806	0.677548833	6.39E-15	4.50E-12	0.140890012	0.235521068	0.694366386	0	1	TRUE
CD8_T_cells	HNSC	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Kurthia	0.373907857	0	0.253294948	7.33E-18	0	7.36E-15	0.71566806	0.677548833	2.46E-05	0.004347503	0.151650036	0.414914394	0.694366386	0	0.82	TRUE
CD8_T_cells	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.533160241	0	0.371718171	1.35E-36	0	5.10E-33	0.71566806	0.677548833	3.85E-31	5.43E-28	0.52418716	0.737209141	0.694366386	0	1	TRUE
CD8_T_cells_PD1_high	HNSC	k__Viruses.f__Papillomaviridae.g__Alphapapillomavirus	0.259368418	2.47E-09	0.175640622	2.37E-09	7.70E-07	7.52E-07	0.707007004	0.668455294	6.93E-08	2.45E-05	0.027688359	0.059305023	0.708997494	0	1	TRUE
CD8_T_cells_PD1_high	HNSC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.411528807	0	0.288815918	9.51E-23	0	1.63E-19	0.707007004	0.668455294	2.05E-11	9.62E-09	0.048367119	0.088343024	0.708997494	0	1	TRUE
CD8_T_cells_PD1_high	HNSC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.334388621	7.60E-15	0.226110686	1.52E-14	5.50E-12	1.09E-11	0.707007004	0.668455294	1.45E-14	1.02E-11	0.141300332	0.237925375	0.708997494	0	1	TRUE
CD8_T_cells_PD1_high	HNSC	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Kurthia	0.372842177	0	0.253249966	7.43E-18	0	7.36E-15	0.707007004	0.668455294	3.98E-05	0.007022253	0.147341007	0.416152652	0.708997494	0	0.81	TRUE
CD8_T_cells_PD1_high	HNSC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Paraclostridium	-0.172075968	8.61E-05	-0.113880017	0.000108531	0.005096137	0.005947083	0.707007004	0.668455294	0.001072436	0.08901216	-0.137361224	-0.034422903	0.708997494	0	0.73	TRUE
CD8_T_cells_PD1_high	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.536705067	0	0.374432099	4.18E-37	0	1.68E-33	0.707007004	0.668455294	6.24E-33	8.81E-30	0.554513551	0.772024153	0.708997494	0	1	TRUE
CD8_T_cells_PD1_low	HNSC	k__Viruses.f__Papillomaviridae.g__Alphapapillomavirus	0.263446431	1.36E-09	0.178924325	1.19E-09	4.55E-07	4.07E-07	0.635929889	0.602832607	1.30E-09	4.58E-07	0.032632942	0.06377354	0.698321811	0	1	TRUE
CD8_T_cells_PD1_low	HNSC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.403246258	0	0.280194323	1.67E-21	0	2.54E-18	0.635929889	0.602832607	5.27E-12	2.48E-09	0.049601568	0.088975538	0.698321811	0	1	TRUE
CD8_T_cells_PD1_low	HNSC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.316660846	2.22E-13	0.214190395	3.33E-13	1.35E-10	1.98E-10	0.635929889	0.602832607	2.63E-14	1.85E-11	0.137310024	0.232480142	0.698321811	0	1	TRUE
CD8_T_cells_PD1_low	HNSC	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Kurthia	0.369855809	0	0.251405695	1.28E-17	0	1.21E-14	0.635929889	0.602832607	2.03E-05	0.00477929	0.155440173	0.420204204	0.698321811	0	0.78	TRUE
CD8_T_cells_PD1_low	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.521917896	0	0.362541796	6.81E-35	0	2.26E-31	0.635929889	0.602832607	2.04E-25	2.88E-22	0.462287613	0.676523063	0.698321811	0	1	TRUE
Endothelium	HNSC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.372469033	0	0.254119623	5.74E-18	0	5.89E-15	0.494276318	0.454072344	8.40E-05	0.029627647	0.063279399	0.189017627	0.51598599	0	1	TRUE
Endothelium	HNSC	k__Bacteria.p__Fibrobacteres.c__Chitinivibrionia.o__Chitinivibrionales.f__Chitinivibrionaceae.g__Chitinivibrio	0.254462923	4.98E-09	0.172431889	4.60E-09	1.43E-06	1.34E-06	0.494276318	0.454072344	4.35E-06	0.002853492	0.061539905	0.153130739	0.51598599	0	0.89	TRUE
Endothelium	HNSC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	0.330393626	1.67E-14	0.225960746	1.59E-14	1.17E-11	1.12E-11	0.494276318	0.454072344	1.74E-07	0.000245375	0.058712947	0.129196551	0.51598599	0	1	TRUE
Endothelium	HNSC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Acetobacter	0.298359503	5.51E-12	0.203934446	4.16E-12	2.85E-09	2.19E-09	0.494276318	0.454072344	0.000165399	0.046675576	0.076680758	0.243045882	0.51598599	0	0.78	TRUE
Endothelium	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Mannheimia	-0.251484631	7.58E-09	-0.17129234	5.81E-09	2.08E-06	1.64E-06	0.494276318	0.454072344	6.07E-06	0.002853492	-0.223557277	-0.088404969	0.51598599	0	0.97	TRUE
Endothelium	HNSC	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Gordoniaceae.g__Gordonia	-0.250283657	8.97E-09	-0.168413477	1.04E-08	2.43E-06	2.73E-06	0.494276318	0.454072344	0.000458989	0.092519038	-0.119379752	-0.033728927	0.51598599	0	0.7	TRUE
Fibroblasts	HNSC	k__Viruses.f__Papillomaviridae.g__Alphapapillomavirus	-0.209107374	1.71E-06	-0.142203829	1.34E-06	0.000227477	0.000186542	0.651725161	0.622458367	8.77E-09	6.19E-06	-0.061516041	-0.030251919	0.701091821	0	0.99	TRUE
Fibroblasts	HNSC	k__Viruses.f__Retroviridae.g__Gammaretrovirus	0.27895983	1.29E-10	0.18696115	2.09E-10	5.33E-08	8.47E-08	0.651725161	0.622458367	0.000218212	0.02052645	0.033855362	0.110258483	0.701091821	0	0.74	TRUE
Fibroblasts	HNSC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.556872477	0	0.397957807	1.09E-41	0	6.13E-38	0.651725161	0.622458367	5.29E-05	0.008292354	0.046720383	0.13466301	0.701091821	0	1	TRUE
Fibroblasts	HNSC	k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Desulfurococcaceae.g__Ignicoccus	0.25697446	3.48E-09	0.174890918	2.77E-09	1.05E-06	8.60E-07	0.651725161	0.622458367	3.42E-07	0.000160827	0.108042024	0.242973149	0.701091821	0	0.96	TRUE
Fibroblasts	HNSC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	0.582515476	0	0.412786949	1.01E-44	0	8.13E-41	0.651725161	0.622458367	9.24E-25	1.30E-21	0.203120226	0.298889258	0.701091821	0	1	TRUE
Lymphocytes	HNSC	k__Viruses.f__Papillomaviridae.g__Alphapapillomavirus	0.21760971	6.25E-07	0.146012325	6.94E-07	9.83E-05	0.000109486	0.75845801	0.730808495	4.04E-07	8.15E-05	0.022604422	0.051123714	0.639539562	0	1	TRUE
Lymphocytes	HNSC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.424553595	0	0.301830777	1.07E-24	0	2.42E-21	0.75845801	0.730808495	1.87E-13	7.72E-11	0.049653421	0.08571303	0.639539562	0	1	TRUE
Lymphocytes	HNSC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.302048654	2.94E-12	0.203859476	4.23E-12	1.57E-09	2.21E-09	0.75845801	0.730808495	2.19E-13	7.72E-11	0.119550576	0.206709611	0.639539562	0	0.95	TRUE
Lymphocytes	HNSC	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Kurthia	0.393080448	0	0.268363996	7.39E-20	0	9.70E-17	0.75845801	0.730808495	1.20E-05	0.001880465	0.149554509	0.392031645	0.639539562	0	0.75	TRUE
Lymphocytes	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.615702811	0	0.434828243	1.97E-49	0	1.11E-44	0.75845801	0.730808495	1.46E-30	2.06E-27	0.477067457	0.673269329	0.639539562	0	1	TRUE
Lymphocytes	HNSC	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.347188932	5.14E-16	0.236321653	9.54E-16	4.09E-13	7.48E-13	0.75845801	0.730808495	1.22E-21	8.62E-19	0.361793455	0.548492392	0.639539562	0	0.94	TRUE
Lymphocytes	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Luteimonas	0.141564121	0.001261841	0.093623019	0.001462015	0.031140499	0.034168179	0.75845801	0.730808495	2.54E-05	0.003579374	0.059418078	0.162864882	0.639539562	0	0.63	TRUE
Macrophages	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.476816609	0	0.324906662	2.35E-28	0	5.77E-25	0.735861887	0.679305256	1.03E-41	1.46E-38	0.432977068	0.579661776	0.478133433	0	1	TRUE
Macrophages	HNSC	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.209075504	1.71E-06	0.140674434	1.74E-06	0.000227736	0.000232749	0.735861887	0.679305256	1.31E-05	0.009207249	0.040130185	0.105694351	0.478133433	0	0.7	TRUE
Macrophages	HNSC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	0.252773571	6.33E-09	0.170347713	7.03E-09	1.75E-06	1.92E-06	0.735861887	0.679305256	6.43E-05	0.02266991	0.033933508	0.09924646	0.478133433	0	0.96	TRUE
Macrophages_M1	HNSC	k__Bacteria.p__Tenericutes.c__Mollicutes.o__Entomoplasmatales.f__Spiroplasmataceae.g__Spiroplasma	-0.275626195	2.17E-10	-0.185806606	2.69E-10	8.69E-08	1.06E-07	0.587743895	0.529371349	0.000205628	0.056679603	-0.23003642	-0.07105687	0.469276768	0	0.93	TRUE
Macrophages_M1	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.353011786	1.31E-16	0.238600753	5.06E-16	1.06E-13	4.08E-13	0.587743895	0.529371349	8.52E-20	1.20E-16	0.262466786	0.406434393	0.469276768	0	1	TRUE
Macrophages_M1	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus	-0.225449123	2.39E-07	-0.15081043	2.96E-07	4.30E-05	5.25E-05	0.587743895	0.529371349	0.000281189	0.056679603	-0.208623631	-0.062380979	0.469276768	0	0.83	TRUE
Macrophages_M2	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.493165219	0	0.339016089	1.01E-30	0	2.58E-27	0.732128733	0.679300292	1.81E-40	2.55E-37	0.539616985	0.725844419	0.607026891	0	1	TRUE
Macrophages_M2	HNSC	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.213918823	9.72E-07	0.144497923	9.04E-07	0.000145507	0.000134646	0.732128733	0.679300292	0.000248847	0.043890311	0.036172985	0.119411699	0.607026891	0	0.64	TRUE
Macrophages_M2	HNSC	k__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma	0.241186218	3.11E-08	0.162670745	3.22E-08	7.63E-06	7.76E-06	0.732128733	0.679300292	2.49E-07	0.000175603	0.093656315	0.20843489	0.607026891	0	0.73	TRUE
Monocytes	HNSC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.234322433	7.69E-08	0.15706296	9.37E-08	1.67E-05	1.97E-05	0.238134414	0.218444051	0.000190942	0.089806233	0.018582634	0.059719323	0.729584728	0	0.95	TRUE
Monocytes	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.358299717	3.23E-17	0.247867092	3.60E-17	2.80E-14	3.23E-14	0.238134414	0.218444051	1.02E-07	0.000144512	0.191992767	0.415819246	0.729584728	0	1	TRUE
Monocytes	HNSC	k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Candidatus_Methanoperedenaceae.g__Candidatus_Methanoperedens	-0.160288192	0.000257162	-0.108302221	0.000232243	0.010563489	0.009823509	0.238134414	0.218444051	9.97E-05	0.07034796	-0.187073568	-0.061747407	0.729584728	0	0.8	TRUE
NK_cells	HNSC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.22448105	2.69E-07	0.151320229	2.70E-07	4.78E-05	4.87E-05	0.243666195	0.225658247	3.61E-07	0.000254607	0.110451337	0.248841926	1.015457053	0	0.97	TRUE
NK_cells	HNSC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.354575483	8.88E-17	0.241614562	2.17E-16	7.37E-14	1.80E-13	0.243666195	0.225658247	4.88E-08	6.88E-05	0.277824388	0.589352534	1.015457053	0	1	TRUE
Neutrophils	HNSC	k__Viruses.f__Papillomaviridae.g__Alphapapillomavirus	-0.204774755	2.67E-06	-0.138328379	2.58E-06	0.000331988	0.000324319	0.230083595	0.192526697	3.88E-05	0.054685159	-0.022043264	-0.007819105	0.318974004	0	0.99	TRUE
Non_plasma_B_cells	HNSC	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.221348098	3.97E-07	0.151515152	2.61E-07	6.68E-05	4.74E-05	0.277860894	0.260667106	4.49E-15	6.33E-12	0.280507745	0.467493841	0.640523231	0	1	TRUE
